ID_2	Xt	Yt	CENc_pH	CENc_Mn	CENc_ARENA	CENc_%Al	CENc_POT_pH	CENc_POT_ARENA	CENc_POT_%Al	CENc_Xt	CENc_Yt	Zones(4)	LN_KdGlifo
2	603163.548377097	6576899.24164536	-0.083595505617974	107.868539325843	-36.3449438202247	0.0283731635280899	-1.51111910112359	-2072.49921348315	0.00623416387508203	163242.05822781	151357.566015348	III	3.98787231771158
7	587501.201670785	6615272.44500258	0.0164044943820265	112.368539325843	-37.5449438202247	0.0323731635280899	-0.181119101123592	-2076.57921348315	0.00742776387508202	147579.711521498	189730.769372568	III	4.0643148157704
9	585406.530786542	6575712.37742051	-0.683595505617974	60.3685393258426	-38.0449438202247	0.0399731635280899	-9.07111910112359	-2077.42921348315	0.00978376387508203	145485.040637255	150170.701790498	III	4.06293989074501
11	582795.797335924	6536823.17101613	-0.683595505617974	120.668539325843	-30.8449438202247	0.0543731635280899	-9.07111910112359	-2016.94921348315	0.014564563875082	142874.307186637	111281.495386117	III	4.24778070111149
12	578393.833727327	6514829.81793284	-0.683595505617974	37.2685393258426	-32.8449438202247	0.0343731635280899	-9.07111910112359	-2044.14921348315	0.00803656387508202	138472.34357804	89288.1423028279	III	4.3233376383252
15	581920.371188665	6376827.25935724	0.0164044943820265	18.7685393258426	-24.3449438202247	0.0127731635280899	-0.181119101123592	-1873.29921348315	0.00188488387508202	141998.881039378	-48714.4162727725	III	4.26098830629683
18	580626.004909944	6317237.44667063	0.416404494382026	56.6685393258426	-20.9449438202247	0.0127731635280899	5.3388808988764	-1764.49921348315	0.00188488387508202	140704.514760657	-108304.228959383	III	4.20819394527583
25	564983.195144243	6460703.72576012	-0.383595505617974	64.9685393258426	-29.4449438202247	-0.0164268364719101	-5.38111910112359	-1993.14921348315	-0.00494791612491798	125061.704994956	35162.0501301074	III	3.61952937597914
34	561826.722222801	6277805.92926911	-1.18359550561797	69.3685393258426	2.75505617977529	0.0495731635280899	-14.8211191011236	-363.829213483145	0.012924883875082	121905.232073514	-147735.746360903	IV	4.2810315765257
35	540132.481544596	6572395.3852893	0.116404494382026	-7.53146067415739	-36.2449438202247	-0.00282683647191014	1.16888089887641	-2072.02921348315	-0.00197767612491798	100210.991395309	146853.709659288	III	4.39955953121618
36	540066.35205897	6554922.97786247	0.316404494382026	33.4685393258426	-9.24494382022471	-0.0104268364719101	3.92888089887641	-1213.42921348315	-0.00368311612491798	100144.861909683	129381.302232457	III	3.16610775932955
39	544374.114233617	6494569.02015081	-0.283595505617973	26.7685393258426	-28.8449438202247	0.0123731635280899	-4.11111910112359	-1981.74921348315	0.00177976387508202	104452.62408433	69027.344520797	III	3.99902604904972
41	537104.549089484	6461968.07803246	-0.083595505617974	7.06853932584261	-28.7449438202247	0.00637316352808986	-1.51111910112359	-1979.77921348315	0.000241363875082026	97183.0589401973	36426.4024024475	III	4.07124651097612
